,sample,sampleType,fishID,site,weight.g,length.cm,gutWeight.g,sex,wild_or_F2,fishType,extractionID,LF1_RF1,RF1_strength,LF1_IR1,IR1_strength,genotype,pcrGenotypeDate,sequencingRun,notes,reads.in,reads.out,derepF,derepR,merged,nochim,prop.retained,chl_abundance,is.neg
KLF_104,KLF_104,gut,104,Scorton Creek,3.557,5.4,0.278,F,F2,Scorton Creek F2,,0,none,1,bright,intact,8/25/21,Run2,,125429,104315,103994,104081,103051,103051,0.821588308923774,0.0906153263917866,FALSE
KLF_237,KLF_237,gut,237,New Bedford Harbor,3.671,5.5,0.316,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,75976,67080,66940,66975,66603,66083,0.869787827735074,0.0250442625183481,FALSE
KLF_240,KLF_240,gut,240,New Bedford Harbor,4.187,5.7,0.225,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,112901,98247,98130,98123,97677,96926,0.858504353371538,0.0248333780409797,FALSE
KLF_225,KLF_225,gut,225,New Bedford Harbor,6.116,6.4,0.385,F,F2,New Bedford Harbor F2,,1,faint,1,faint,het,8/25/21,Run2,,120997,103600,103514,103462,102654,102654,0.848401200029753,0.0681317824926452,FALSE
KLF_218,KLF_218,gut,218,New Bedford Harbor,5.262,6.1,0.267,M,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,,136718,119792,119525,119659,118477,117253,0.857626647551895,0.0239141002788841,FALSE
KLF_72,KLF_72,gut,72,New Bedford Harbor,1.739,5.5,0.0875,M,wild,New Bedford Harbor wild,72,1,bright,2,bright,het,3/12/21,Run1,,131824,105454,102810,103279,94918,91152,0.691467411093579,0.00223802001053186,FALSE
KLF_27,KLF_27,gut,27,Scorton Creek,1.8794,5.5,0.1211,M,wild,Scorton Creek wild,27,1,medium,1,medium,het,3/12/21,Run1,,122109,97840,97744,97738,97239,96562,0.790785282002146,0,FALSE
KLF_216,KLF_216,gut,216,New Bedford Harbor,2.451,5.1,0.192,M,F2,New Bedford Harbor F2,,1,bright,1,bright,het,8/25/21,Run2,,86881,73961,73868,73820,73494,73119,0.841599429104177,0.0328915876858272,FALSE
KLF_57,KLF_57,gut,57,New Bedford Harbor,4.52,7,0.4159,M,wild,New Bedford Harbor wild,57,1,bright,1,bright,het,8/24/21,Run1,,82674,64924,64642,64500,63613,63613,0.769443839659385,0.153333438133715,FALSE
KLF_69,KLF_69,gut,69,New Bedford Harbor,4.122,7.2,0.2632,M,wild,New Bedford Harbor wild,69,1,faint,1,faint,het,3/12/21,Run1,,143400,116476,115056,115156,111767,109168,0.761283124128312,0.00583504323611315,FALSE
KLF_50,KLF_50,gut,50,New Bedford Harbor,1.805,5.5,0.1459,M,wild,New Bedford Harbor wild,50,1,medium,1,bright,het,3/11/21,Run1,,87949,72127,71470,71397,69887,69734,0.792891334750822,0.025611609831646,FALSE
