	Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxonomy
ASV9944	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	NA	g:Planctomicrobium
ASV9945	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	f:Gemmataceae
ASV9946	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga	myxococcoides	Sporocytophaga myxococcoides
ASV9947	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Waddliaceae	Waddlia	NA	g:Waddlia
ASV9948	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	NA	NA	f:Syntrophomonadaceae
ASV9949	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA	o:Oligoflexales
ASV9950	Bacteria	Chloroflexi	Anaerolineae	NA	NA	NA	NA	c:Anaerolineae
ASV9951	Bacteria	Firmicutes	Symbiobacteriia	Symbiobacteriales	Symbiobacteraceae	NA	NA	f:Symbiobacteraceae
ASV9952	Bacteria	Firmicutes	Limnochordia	Limnochordia_or	Limnochordia_fa	Hydrogenispora	NA	g:Hydrogenispora
ASV9953	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	f:Gemmataceae
ASV9954	Bacteria	Firmicutes	Bacilli	Aneurinibacillales	Aneurinibacillaceae	Aneurinibacillus	NA	g:Aneurinibacillus
ASV9955	Bacteria	Firmicutes	NA	NA	NA	NA	NA	p:Firmicutes
ASV9956	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA	f:Anaerolineaceae
ASV9957	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	NA	g:Thalassotalea
ASV9958	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV9959	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	NA	g:Tumebacillus
ASV9960	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB_OF53-F07	NA	g:HSB_OF53-F07
ASV9961	Bacteria	WPS-2	NA	NA	NA	NA	NA	p:WPS-2
ASV9962	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	g:Acidothermus
ASV9963	Bacteria	Firmicutes	Symbiobacteriia	Symbiobacteriales	Symbiobacteriales_fa	Caldinitratiruptor	NA	g:Caldinitratiruptor
ASV9964	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14	NA	g:SH-PL14
ASV9965	Bacteria	Chloroflexi	Gitt-GS-136	NA	NA	NA	NA	c:Gitt-GS-136
ASV9966	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA	NA	c:Planctomycetes
ASV9967	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	f:67-14
ASV9968	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA	f:Micavibrionaceae
ASV9969	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	f:Clostridiaceae
ASV9970	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	f:Vermiphilaceae
ASV9971	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV9972	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales_Incertae_Sedis	Raoultibacter	NA	g:Raoultibacter
ASV9973	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Actinopolymorpha	NA	g:Actinopolymorpha
ASV9974	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV9975	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	f:Isosphaeraceae
ASV9976	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Ruminiclostridium	NA	g:Ruminiclostridium
ASV9977	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV9978	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	f:Isosphaeraceae
ASV9979	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV9980	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	NA	g:Thalassotalea
ASV9981	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Limibaculum	NA	g:Limibaculum
ASV9982	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	NA	g:Sulfurovum
ASV9983	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	g:Corynebacterium
ASV9984	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	f:Obscuribacteraceae
ASV9985	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV9986	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA	NA	o:EC3
ASV9987	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	SZB85	NA	g:SZB85
ASV9988	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV9989	Bacteria	Firmicutes	NA	NA	NA	NA	NA	p:Firmicutes
ASV9990	Bacteria	Chloroflexi	Anaerolineae	ADurb.Bin180	NA	NA	NA	o:ADurb.Bin180
ASV9991	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA	f:Gimesiaceae
ASV9992	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	g:Bdellovibrio
ASV9993	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	NA	NA	f:Unknown_Family
ASV9994	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV9995	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA	f:Gimesiaceae
ASV9996	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	NA	f:Halieaceae
ASV9997	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV9998	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV9999	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV10000	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA	g:Deinococcus
ASV10001	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA	g:Mycoplasma
ASV10002	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	NA	NA	f:Chloroflexaceae
ASV10003	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	f:Lachnospiraceae
ASV10004	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA	o:WCHB1-41
ASV10005	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	NA	NA	f:Vibrionaceae
ASV10006	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubribacterium	NA	g:Rubribacterium
ASV10007	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	NA	g:Mycobacterium
ASV10008	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	f:Vermiphilaceae
ASV10009	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	g:Coxiella
ASV10010	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV10011	Bacteria	Actinobacteriota	Thermoleophilia	NA	NA	NA	NA	c:Thermoleophilia
ASV10012	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella	NA	g:Candidatus_Berkiella
ASV10013	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	NA	o:Babeliales
ASV10014	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexales_fa	Oligoflexus	NA	g:Oligoflexus
ASV10015	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA	g:Pajaroellobacter
ASV10016	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	g:Sphingomonas
ASV10017	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	g:Novosphingobium
ASV10018	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA	g:Blastopirellula
ASV10019	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonas	NA	g:Syntrophomonas
ASV10020	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	f:JG30-KF-CM45
ASV10021	Bacteria	Firmicutes	Clostridia	Clostridia_or	Gracilibacteraceae	Lutispora	NA	g:Lutispora
ASV10022	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV10023	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	HN-HF0106	NA	g:HN-HF0106
ASV10024	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	f:Gemmataceae
ASV10025	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA	c:Bacilli
ASV10026	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA	f:Rickettsiaceae
ASV10027	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV10028	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA	f:DEV007
ASV10029	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	NA	NA	f:Legionellaceae
ASV10030	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	NA	NA	f:Chlamydiaceae
ASV10031	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter	NA	g:Methylobacter
ASV10032	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureisphaera	NA	g:Aureisphaera
ASV10033	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	NA	NA	f:Thermoactinomycetaceae
ASV10034	Bacteria	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	Vulgatibacter	NA	g:Vulgatibacter
ASV10035	Bacteria	Firmicutes	Incertae_Sedis	DTU014	NA	NA	NA	o:DTU014
ASV10036	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	NA	f:Blastocatellaceae
ASV10037	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV10038	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	NA	g:Desulfatiglans
ASV10039	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV10040	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA	f:Vicinamibacteraceae
ASV10041	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	o:IMCC26256
ASV10042	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	NA	g:Sva0996_marine_group
ASV10043	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV10044	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14	NA	g:SH-PL14
ASV10045	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	f:Caldilineaceae
ASV10046	Bacteria	NB1-j	NA	NA	NA	NA	NA	p:NB1-j
ASV10047	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	NA	NA	NA	o:Ardenticatenales
ASV10048	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	xylanilyticus	Paenibacillus xylanilyticus
ASV10049	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV10050	Bacteria	Actinobacteriota	WCHB1-81	NA	NA	NA	NA	c:WCHB1-81
ASV10051	Bacteria	Firmicutes	NA	NA	NA	NA	NA	p:Firmicutes
ASV10052	Bacteria	NKB15	NA	NA	NA	NA	NA	p:NKB15
ASV10053	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA	o:Planctomycetales
ASV10054	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV10055	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA	NA	o:Chlamydiales
ASV10056	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	g:Desulfovibrio
ASV10057	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	NA	NA	NA	o:Bacteroidetes_VC2.1_Bac22
ASV10058	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	f:Caldilineaceae
ASV10059	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_7	NA	g:Clostridium_sensu_stricto_7
ASV10060	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	NA	NA	NA	o:Actinomarinales
ASV10061	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	g:Novosphingobium
ASV10062	Bacteria	Planctomycetota	Pla4_lineage	NA	NA	NA	NA	c:Pla4_lineage
ASV10063	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	g:Conexibacter
ASV10064	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus_Xiphinematobacter	NA	g:Candidatus_Xiphinematobacter
ASV10065	Bacteria	Proteobacteria	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus_Tenderia	NA	g:Candidatus_Tenderia
ASV10066	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA	NA	c:Gracilibacteria
ASV10067	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella	NA	g:Candidatus_Berkiella
ASV10068	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella	NA	g:Candidatus_Berkiella
ASV10069	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	NA	g:Sva0996_marine_group
ASV10070	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA	c:Actinobacteria
ASV10071	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA	f:Bacteriovoracaceae
ASV10072	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA	g:Woeseia
ASV10073	Bacteria	Proteobacteria	Gammaproteobacteria	Piscirickettsiales	Piscirickettsiaceae	Candidatus_Endoecteinascidia	NA	g:Candidatus_Endoecteinascidia
ASV10074	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula	NA	g:Parvularcula
ASV10075	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV10076	Bacteria	Proteobacteria	Gammaproteobacteria	SZB50	NA	NA	NA	o:SZB50
ASV10077	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	NA	NA	NA	o:Peptostreptococcales-Tissierellales
ASV10078	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA	NA	o:Oceanospirillales
ASV10079	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA	f:Leptolyngbyaceae
ASV10080	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV10081	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	g:Bdellovibrio
ASV10082	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA	f:DEV007
ASV10083	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV10084	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	NA	NA	f:Francisellaceae
ASV10085	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Propionigenium	NA	g:Propionigenium
ASV10086	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	NA	NA	f:Methylophagaceae
ASV10087	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV10088	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	p:Proteobacteria
ASV10089	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NA	NA	NA	o:Flavobacteriales
ASV10090	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA	f:Rickettsiaceae
ASV10091	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	NA	g:Psychrobacter
ASV10092	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	NA	NA	f:Magnetospiraceae
ASV10093	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	g:Peredibacter
ASV10094	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	NA	g:Portibacter
ASV10095	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV10096	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	NA	NA	NA	o:SAR11_clade
ASV10097	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA	f:Flavobacteriaceae
ASV10098	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	NA	NA	f:Alteromonadaceae
ASV10099	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12411	NA	NA	f:UBA12411
ASV10100	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_MBIC10613	NA	g:Synechococcus_MBIC10613
ASV10101	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	NA	o:SAR86_clade
ASV10102	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV10103	Bacteria	SAR324_clade(Marine_group_B)	NA	NA	NA	NA	NA	p:SAR324_clade(Marine_group_B)
ASV10104	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella	NA	g:Candidatus_Berkiella
ASV10105	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV10106	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	g:Legionella
ASV10107	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV10108	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	taihuensis	Paenibacillus taihuensis
ASV10109	Bacteria	Armatimonadota	NA	NA	NA	NA	NA	p:Armatimonadota
ASV10110	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA	c:OM190
ASV10111	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	NA	g:Sva0996_marine_group
ASV10112	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA	f:Saprospiraceae
ASV10113	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	g:Legionella
ASV10114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	nanhaiticus	Roseovarius nanhaiticus
ASV10115	Bacteria	SAR324_clade(Marine_group_B)	NA	NA	NA	NA	NA	p:SAR324_clade(Marine_group_B)
ASV10116	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts	NA	g:endosymbionts
ASV10117	Bacteria	Latescibacterota	NA	NA	NA	NA	NA	p:Latescibacterota
ASV10118	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV10119	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	NA	g:Aquicella
ASV10120	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA	f:Sandaracinaceae
ASV10121	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV10122	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA	NA	f:Peptococcaceae
ASV10123	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_9	NA	NA	NA	o:Subgroup_9
ASV10124	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium	NA	g:Rhodomicrobium
ASV10125	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA	o:Oligoflexales
ASV10126	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA	f:Rickettsiaceae
ASV10127	Bacteria	Actinobacteriota	Thermoleophilia	NA	NA	NA	NA	c:Thermoleophilia
ASV10128	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV10129	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA	g:Pirellula
ASV10130	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	NA	NA	NA	o:Candidatus_Moranbacteria
ASV10131	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	NA	g:Candidatus_Udaeobacter
ASV10132	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA	g:Desulfobulbus
ASV10133	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	NA	g:BD1-7_clade
ASV10134	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	c:Clostridia
ASV10135	Bacteria	NB1-j	NA	NA	NA	NA	NA	p:NB1-j
ASV10136	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	f:Vermiphilaceae
ASV10137	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV10138	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV10139	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir2_lineage	NA	g:Pir2_lineage
ASV10140	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Litorimonas	NA	g:Litorimonas
ASV10141	Bacteria	Myxococcota	Polyangia	UASB-TL25	NA	NA	NA	o:UASB-TL25
ASV10142	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts	NA	g:endosymbionts
ASV10143	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564_sediment_group	NA	NA	f:AKAU3564_sediment_group
ASV10144	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV10145	Bacteria	Proteobacteria	Gammaproteobacteria	EV818SWSAP88	NA	NA	NA	o:EV818SWSAP88
ASV10146	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA	o:Planctomycetales
ASV10147	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV10148	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01	NA	g:Verruc-01
ASV10149	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Terrisporobacter	NA	g:Terrisporobacter
ASV10150	Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	NA	NA	f:Caedibacteraceae
ASV10151	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA	NA	o:EC3
ASV10152	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	NA	NA	f:Dethiobacteraceae
ASV10153	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA	f:Cyclobacteriaceae
ASV10154	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	NA	NA	NA	o:OPB41
ASV10155	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV10156	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA	NA	o:EC3
ASV10157	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA	f:Micavibrionaceae
ASV10158	Bacteria	Planctomycetota	Pla3_lineage	NA	NA	NA	NA	c:Pla3_lineage
ASV10159	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA	NA	o:EC3
ASV10160	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA	o:0319-6G20
ASV10161	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	NA	NA	f:Thermoactinomycetaceae
ASV10162	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	NA	g:Cyanobium_PCC-6307
ASV10163	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	f:Parachlamydiaceae
ASV10164	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	c:Clostridia
ASV10165	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Candidatus_Bacilloplasma	NA	g:Candidatus_Bacilloplasma
